batch | sem | reg_no | branch_code | branch_name | subject_type | subject_code | subject_name | credit
22 | IV | 22119113008 | 119 | Civil Engineering With Computer Application | practical | 119406P | Materials Testing & Evaluation | 1.00
22 | IV | 22119113008 | 119 | Civil Engineering With Computer Application | practical | 119407P | MOOCs / SWAYAM / NPTEL Courses - 1 | 2.00
22 | IV | 22119113008 | 119 | Civil Engineering With Computer Application | practical | 119408P | Computer-aided Structural Analysis Laboratory | 1.00
22 | IV | 22151113025 | 151 | Computer Science and Engineering (Artificial Intelligence) | theory | 100403 | Digital Electronics | 3.00
22 | IV | 22151113025 | 151 | Computer Science and Engineering (Artificial Intelligence) | theory | 100404 | Discrete Mathematics | 4.00
22 | IV | 22151113025 | 151 | Computer Science and Engineering (Artificial Intelligence) | theory | 100407 | Human Resource Development and Organizational Behavior | 3.00
22 | IV | 22151113025 | 151 | Computer Science and Engineering (Artificial Intelligence) | theory | 105401 | Computer Organization & Architecture | 3.00
22 | IV | 22151113025 | 151 | Computer Science and Engineering (Artificial Intelligence) | theory | 105402 | Design & Analysis of Algorithms | 3.00
22 | IV | 22151113025 | 151 | Computer Science and Engineering (Artificial Intelligence) | theory | 105403 | Operating Systems | 3.00
22 | IV | 22151113025 | 151 | Computer Science and Engineering (Artificial Intelligence) | practical | 100403P | Digital Electronics | 2.00
22 | IV | 22151113025 | 151 | Computer Science and Engineering (Artificial Intelligence) | practical | 105401P | Computer Organization & Architecture | 2.00
22 | IV | 22151113025 | 151 | Computer Science and Engineering (Artificial Intelligence) | practical | 105402P | Design & Analysis of Algorithms | 2.00
22 | IV | 22151113025 | 151 | Computer Science and Engineering (Artificial Intelligence) | practical | 105403P | Operating Systems | 2.00
22 | IV | 22152146021 | 152 | Computer Science and Engineering (Cyber Security) | theory | 100403 | Digital Electronics | 3.00
22 | IV | 22152146021 | 152 | Computer Science and Engineering (Cyber Security) | theory | 100404 | Discrete Mathematics | 4.00
22 | IV | 22152146021 | 152 | Computer Science and Engineering (Cyber Security) | theory | 100407 | Human Resource Development and Organizational Behavior | 3.00
22 | IV | 22152146021 | 152 | Computer Science and Engineering (Cyber Security) | theory | 105401 | Computer Organization & Architecture | 3.00
22 | IV | 22152146021 | 152 | Computer Science and Engineering (Cyber Security) | theory | 105402 | Design & Analysis of Algorithms | 3.00
22 | IV | 22152146021 | 152 | Computer Science and Engineering (Cyber Security) | theory | 105403 | Operating Systems | 3.00
22 | IV | 22152146021 | 152 | Computer Science and Engineering (Cyber Security) | practical | 100403P | Digital Electronics | 2.00
22 | IV | 22152146021 | 152 | Computer Science and Engineering (Cyber Security) | practical | 105401P | Computer Organization & Architecture | 2.00
22 | IV | 22152146021 | 152 | Computer Science and Engineering (Cyber Security) | practical | 105402P | Design & Analysis of Algorithms | 2.00
22 | IV | 22152146021 | 152 | Computer Science and Engineering (Cyber Security) | practical | 105403P | Operating Systems | 2.00
22 | IV | 22153132004 | 153 | Computer Science and Engineering (Data Science) | theory | 100403 | Digital Electronics | 3.00
22 | IV | 22153132004 | 153 | Computer Science and Engineering (Data Science) | theory | 100404 | Discrete Mathematics | 4.00
22 | IV | 22153132004 | 153 | Computer Science and Engineering (Data Science) | theory | 100407 | Human Resource Development and Organizational Behavior | 3.00
22 | IV | 22153132004 | 153 | Computer Science and Engineering (Data Science) | theory | 105401 | Computer Organization & Architecture | 3.00
22 | IV | 22153132004 | 153 | Computer Science and Engineering (Data Science) | theory | 105402 | Design & Analysis of Algorithms | 3.00
22 | IV | 22153132004 | 153 | Computer Science and Engineering (Data Science) | theory | 105403 | Operating Systems | 3.00
22 | IV | 22153132004 | 153 | Computer Science and Engineering (Data Science) | practical | 100403P | Digital Electronics | 2.00
22 | IV | 22153132004 | 153 | Computer Science and Engineering (Data Science) | practical | 105401P | Computer Organization & Architecture | 2.00
22 | IV | 22153132004 | 153 | Computer Science and Engineering (Data Science) | practical | 105402P | Design & Analysis of Algorithms | 2.00
22 | IV | 22153132004 | 153 | Computer Science and Engineering (Data Science) | practical | 105403P | Operating Systems | 2.00
22 | IV | 22154149007 | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | theory | 100403 | Digital Electronics | 3.00
22 | IV | 22154149007 | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | theory | 100404 | Discrete Mathematics | 4.00
22 | IV | 22154149007 | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | theory | 100407 | Human Resource Development and Organizational Behavior | 3.00
22 | IV | 22154149007 | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | theory | 105401 | Computer Organization & Architecture | 3.00
22 | IV | 22154149007 | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | theory | 105402 | Design & Analysis of Algorithms | 3.00
22 | IV | 22154149007 | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | theory | 105403 | Operating Systems | 3.00
22 | IV | 22154149007 | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | practical | 100403P | Digital Electronics | 2.00
22 | IV | 22154149007 | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | practical | 105401P | Computer Organization & Architecture | 2.00
22 | IV | 22154149007 | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | practical | 105402P | Design & Analysis of Algorithms | 2.00
22 | IV | 22154149007 | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | practical | 105403P | Operating Systems | 2.00
22 | IV | 22156148013 | 156 | Computer Science and Engineering (Networks) | theory | 100403 | Digital Electronics | 3.00
22 | IV | 22156148013 | 156 | Computer Science and Engineering (Networks) | theory | 100404 | Discrete Mathematics | 4.00
22 | IV | 22156148013 | 156 | Computer Science and Engineering (Networks) | theory | 100407 | Human Resource Development and Organizational Behavior | 3.00
22 | IV | 22156148013 | 156 | Computer Science and Engineering (Networks) | theory | 105401 | Computer Organization & Architecture | 3.00
22 | IV | 22156148013 | 156 | Computer Science and Engineering (Networks) | theory | 105402 | Design & Analysis of Algorithms | 3.00
22 | IV | 22156148013 | 156 | Computer Science and Engineering (Networks) | theory | 105403 | Operating Systems | 3.00
22 | IV | 22156148013 | 156 | Computer Science and Engineering (Networks) | practical | 100403P | Digital Electronics | 2.00
22 | IV | 22156148013 | 156 | Computer Science and Engineering (Networks) | practical | 105401P | Computer Organization & Architecture | 2.00
22 | IV | 22156148013 | 156 | Computer Science and Engineering (Networks) | practical | 105402P | Design & Analysis of Algorithms | 2.00
22 | IV | 22156148013 | 156 | Computer Science and Engineering (Networks) | practical | 105403P | Operating Systems | 2.00
22 | IV | 22157127020 | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | theory | 100403 | Digital Electronics | 3.00
22 | IV | 22157127020 | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | theory | 100404 | Discrete Mathematics | 4.00
22 | IV | 22157127020 | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | theory | 100407 | Human Resource Development and Organizational Behavior | 3.00
22 | IV | 22157127020 | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | theory | 105401 | Computer Organization & Architecture | 3.00
22 | IV | 22157127020 | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | theory | 105402 | Design & Analysis of Algorithms | 3.00
22 | IV | 22157127020 | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | theory | 105403 | Operating Systems | 3.00
22 | IV | 22157127020 | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | practical | 100403P | Digital Electronics | 2.00
22 | IV | 22157127020 | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | practical | 105401P | Computer Organization & Architecture | 2.00
22 | IV | 22157127020 | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | practical | 105402P | Design & Analysis of Algorithms | 2.00
22 | IV | 22157127020 | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | practical | 105403P | Operating Systems | 2.00
21 | IV | 21102102004 | 102 | Mechanical Engineering | theory | 102401 | Applied Thermodynamics | 4.00
21 | IV | 21102102004 | 102 | Mechanical Engineering | theory | 102402 | Engineering Materials | 4.00
21 | IV | 21102102004 | 102 | Mechanical Engineering | theory | 102403 | Fluid Mechanics | 3.00
21 | IV | 21102102004 | 102 | Mechanical Engineering | theory | 102404 | Instrumentation & Control | 4.00
21 | IV | 21102102004 | 102 | Mechanical Engineering | theory | 102405 | Strength of Materials | 3.00
21 | IV | 21102102004 | 102 | Mechanical Engineering | practical | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | 2.00
21 | IV | 21102102004 | 102 | Mechanical Engineering | practical | 102403P | Fluid Mechanics | 1.50
21 | IV | 21102102004 | 102 | Mechanical Engineering | practical | 102405P | Strength of Materials | 1.50
21 | IV | 21104102001 | 104 | Electronics & Communication Engineering | theory | 104401 | Analog Circuits | 3.00
21 | IV | 21104102001 | 104 | Electronics & Communication Engineering | theory | 104402 | Analog Communication | 3.00
21 | IV | 21104102001 | 104 | Electronics & Communication Engineering | theory | 104403 | Digital Circuits | 4.00
21 | IV | 21104102001 | 104 | Electronics & Communication Engineering | theory | 104404 | Electromagnetic Theory | 4.00
21 | IV | 21104102001 | 104 | Electronics & Communication Engineering | theory | 104405 | Semiconductor Physics and Devices | 3.00
21 | IV | 21104102001 | 104 | Electronics & Communication Engineering | practical | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | 2.00
21 | IV | 21104102001 | 104 | Electronics & Communication Engineering | practical | 104401P | Analog Circuits | 1.00
21 | IV | 21104102001 | 104 | Electronics & Communication Engineering | practical | 104402P | Analog Communication | 1.00
21 | IV | 21104102001 | 104 | Electronics & Communication Engineering | practical | 104403P | Digital Circuits | 1.00
21 | IV | 21104102001 | 104 | Electronics & Communication Engineering | practical | 104405P | Semiconductor Physics and Devices | 1.00
21 | IV | 21106107018 | 106 | Information Technology | theory | 100406 | Formal Language & Automata Theory | 4.00
21 | IV | 21106107018 | 106 | Information Technology | theory | 100407 | Human Resource Development and Organizational Behavior | 3.00
21 | IV | 21106107018 | 106 | Information Technology | theory | 106401 | Computer Organization & Architecture | 3.00
21 | IV | 21106107018 | 106 | Information Technology | theory | 106402 | Database management System | 3.00
21 | IV | 21106107018 | 106 | Information Technology | theory | 106403 | Machine Learning | 3.00
21 | IV | 21106107018 | 106 | Information Technology | practical | 106401P | Computer Organization & Architecture | 2.00
21 | IV | 21106107018 | 106 | Information Technology | practical | 106402P | Database management System | 2.00
21 | IV | 21106107018 | 106 | Information Technology | practical | 106403P | Machine Learning | 2.00
21 | IV | 21107107005 | 107 | Leather Technology Engineering | theory | 107401 | Analytical Chemistry of Leather | 3.00
21 | IV | 21107107005 | 107 | Leather Technology Engineering | theory | 107402 | Biochemistry of protein | 3.00
21 | IV | 21107107005 | 107 | Leather Technology Engineering | theory | 107403 | Chemical Engineering – I | 3.00
21 | IV | 21107107005 | 107 | Leather Technology Engineering | theory | 107404 | Principles of Inorganic Tannage | 3.00
21 | IV | 21107107005 | 107 | Leather Technology Engineering | theory | 107405 | Theory & Practices of preservation and pre tanning processes | 3.00
21 | IV | 21107107005 | 107 | Leather Technology Engineering | practical | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | 2.00
21 | IV | 21107107005 | 107 | Leather Technology Engineering | practical | 107401P | Analytical Chemistry of Leather | 1.50
21 | IV | 21107107005 | 107 | Leather Technology Engineering | practical | 107405P | Theory & Practices of preservation and pre tanning processes | 1.50
